study_id	bioproject_id	sample_id	library_strategy	organism	organism_enriched	organism_ontology	tissue	tissue_enriched	tissue_ontology	cell_type	cell_type_enriched	cell_type_ontology	cell_line	cell_line_enriched	cell_line_ontology	strain	strain_enriched	strain_ontology	developmental_stage	developmental_stage_enriched	developmental_stage_ontology	genotype	genotype_enriched	genotype_ontology	age	age_enriched	age_ontology	sex	sex_enriched	sex_ontology	condition	condition_enriched	condition_ontology	treatment	treatment_enriched	treatment_ontology	timepoint	timepoint_enriched	timepoint_ontology	replicate	replicate_enriched	replicate_ontology	batch	batch_enriched	batch_ontology	disease	disease_enriched	disease_ontology	stress	stress_enriched	stress_ontology	temperature	temperature_enriched	temperature_ontology	growth_condition	growth_condition_enriched	growth_condition_ontology	sample_title	sample_description
PRJNA1321709		SRS26440073	OTHER	Danio rerio	no	NCBITaxon:7955	brain	no	UBERON:0000955	brain	no	UBERON:0000955	primary cells	no			no			no		nop2 sibling	no			no			no			no			no			no			no			no			no			no			no			no		nop2 sibling zebrafish (48 dpf) brain tissues for ribo-seq	
PRJNA1321709		SRS26440075	OTHER	Danio rerio	no	NCBITaxon:7955	brain	no	UBERON:0000955	brain	no	UBERON:0000955	primary cells	no			no			no		nop2 mutant	no			no			no			no			no			no			no			no			no			no			no			no		nop2 mutant zebrafish (48 dpf) brain tissues for ribo-seq	
PRJNA1321709		SRS26440074	Bisulfite-Seq	Danio rerio	no	NCBITaxon:7955	brain	no	UBERON:0000955	brain	no	UBERON:0000955	primary cells	no			no			no		nop2 sibling	no			no			no			no			no			no			no			no			no			no			no			no		nop2 sibling zebrafish (48 dpf) brain tissues for bs-seq	
PRJNA1321709		SRS26440076	Bisulfite-Seq	Danio rerio	no	NCBITaxon:7955	brain	no	UBERON:0000955	brain	no	UBERON:0000955	primary cells	no			no			no		nop2 mutant	no			no			no			no			no			no			no			no			no			no			no			no		nop2 mutant zebrafish (48 dpf) brain tissues for bs-seq	
PRJNA1238785		SRS24430789	RNA-Seq	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		WT	no			no			no			no			no			no			no			no			no			no			no			no		sibling-RNAsseq	
PRJNA1238785		SRS24430790	RNA-Seq	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		mutant	no			no			no			no			no			no			no			no			no			no			no			no		mutant-RNAsseq	
PRJNA1238785		SRS24430791	OTHER	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		WT	no			no			no			no			no			no			no			no			no			no			no			no		sibling-riboseq	
PRJNA1238785		SRS24430792	OTHER	Danio rerio	no	NCBITaxon:7955	head	no	UBERON:0000033		no			no			no			no		mutant	no			no			no			no			no			no			no			no			no			no			no			no		mutant-riboseq	
PRJNA1104180		SRS21112309	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		uninjected	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, low dose, uninj1	
PRJNA1104180		SRS21112310	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		uninjected	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, low dose, uninj2	
PRJNA1104180		SRS21112303	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		uninjected	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, low dose, uninj3	
PRJNA1104180		SRS21112304	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		dsRNA	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, low dose, dsRNA1	
PRJNA1104180		SRS21112305	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		dsRNA	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, low dose, dsRNA2	
PRJNA1104180		SRS21112306	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		dsRNA	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, low dose, dsRNA3	
PRJNA1104180		SRS21112307	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		uninjected	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, high dose, uninj1	
PRJNA1104180		SRS21112308	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		uninjected	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, high dose, uninj2	
PRJNA1104180		SRS21112311	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		uninjected	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, high dose, uninj3	
PRJNA1104180		SRS21112312	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		dsRNA	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, high dose, dsRNA1	
PRJNA1104180		SRS21112313	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		dsRNA	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, high dose, dsRNA2	
PRJNA1104180		SRS21112314	RNA-Seq	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		dsRNA	no			no			no			no			no			no			no			no		Zebrafish, RNAseq, high dose, dsRNA3	
PRJNA1104180		SRS21112315	OTHER	Danio rerio	no	NCBITaxon:7955	whole embryo	no		cell	no	CL:0000000		no			no		50% epi stage	no		wild type	no			no			no			no		uninjected	no			no			no			no			no			no			no			no		Zebrafish, Riboseq, low dose, uninj1	
