study_id	bioproject_id	sample_id	library_strategy	organism	organism_enriched	organism_ontology	tissue	tissue_enriched	tissue_ontology	cell_type	cell_type_enriched	cell_type_ontology	cell_line	cell_line_enriched	cell_line_ontology	strain	strain_enriched	strain_ontology	developmental_stage	developmental_stage_enriched	developmental_stage_ontology	genotype	genotype_enriched	genotype_ontology	age	age_enriched	age_ontology	sex	sex_enriched	sex_ontology	condition	condition_enriched	condition_ontology	treatment	treatment_enriched	treatment_ontology	timepoint	timepoint_enriched	timepoint_ontology	replicate	replicate_enriched	replicate_ontology	batch	batch_enriched	batch_ontology	disease	disease_enriched	disease_ontology	stress	stress_enriched	stress_ontology	temperature	temperature_enriched	temperature_ontology	growth_condition	growth_condition_enriched	growth_condition_ontology	sample_title	sample_description
PRJNA397065		SRS2404528	RNA-Seq	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		PatA	no			no			no			no			no			no			no			no		mRNA-Seq R0 patA - WT 64c PatA RPF-input B2	
PRJNA397065		SRS2404530	RNA-Seq	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		mRNA-Seq R0 patA - WT 64c RPF-input B1	
PRJNA397065		SRS2404531	RNA-Seq	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		mRNA-Seq R0 patA - WT 64c RPF-input B2	
PRJNA397065		SRS2404542	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS,in_vivo	no			no			no			no			no			no			no			no		DMS-Seq - WT 64c in vivo	
PRJNA397065		SRS2404544	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS,in_vivo	no			no			no			no			no			no			no			no		DMS-Seq - WT 64c in vivo	
PRJNA397065		SRS2404543	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		shield	no			no		6.0	no		pooled male and female	no			no		DMS,in_vivo	no			no			no			no			no			no			no			no		DMS-Seq - WT shield in vivo	
PRJNA397065		SRS2404545	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		sphere	no			no		4.0	no		pooled male and female	no			no		DMS,in_vivo	no			no			no			no			no			no			no			no		DMS-Seq - WT sphere in vivo	
PRJNA397065		SRS2404546	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS,0.5%,in_vitro	no			no			no			no			no			no			no			no		DMS-Seq - IVT 64c B2	
PRJNA397065		SRS2404556	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS,0.5%,in_vitro	no			no			no			no			no			no			no			no		DMS-Seq - IVT 64c B1	
PRJNA397065		SRS2404557	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS,in_vivo,cyclohex	no			no			no			no			no			no			no			no		DMS-Seq - WT 64c CHX B1	
PRJNA397065		SRS2404560	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS,in_vivo,cyclohex	no			no			no			no			no			no			no			no		DMS-Seq - WT 64c CHX B2	
PRJNA397065		SRS2404541	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS,PatA	no			no			no			no			no			no			no			no		DMS-Seq PatA - WT 64c PatA DMS B1	
PRJNA397065		SRS2404553	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		miniRESA - 2h pA RNA B3	
